,0,neg,neu,pos
160,['Shifts in Chinas Industrial SupplyChain and the US China TradeWar    21594500000'],0.0,1.0,0.0
161,['A Trade war You mean where he wants other Countries to have to play fair for a change You are such a troll and not even good at that20190130 21593100000'],0.18,0.686,0.134
162,['No thanks to you Mr Trade War20190130 21584800000'],0.0,0.707,0.293
163,['Japans Omron lowered its profit forecast for the second time this fiscal year as the trade war and slowing Chinese economy dampens demand for factory automation equipment  21584300002'],0.204,0.71,0.086
164,['Until you start tweeting about how well we are doing in the trade war with China and then it takes a dump again Or until the next TrumpShutdown Just dont get sore patting yourself on your back youll find a way to screw it up of that I am 100 positive20190130 21583400000'],0.141,0.784,0.075
165,['trade For USChina trade talks hopes are high expectations low WASHINGTON AP  US and Chinese negotiators are holding highlevel talks aimed at settling a sixmonth trade war that has weakened both sides shaken financial markets and clouded the outlook for the globa20190130 21582600000'],0.218,0.726,0.056
166,['Why are Republicans HouseGOP HouseSenate GOP senatemajldr allowing BigBaby realDonaldTrump to run wild Why wont they do their jobs THAT is the million dollar question NoWall Farmers TradeWar pictwittercomkVSCgZwFeb20190130 21581000002'],0.0,1.0,0.0
167,['It has gone down 1000 points since you started the trade war20190130 21574400000'],0.0,1.0,0.0
168,['Could be this is why Trumps socalled economic advisers went along with Trumps nutty trade war ideathey knew theyd need a big juicy excuse for the failure of their tax cuts to benefit the economy  20190130 21562600000'],0.21,0.694,0.096
169,['Get real people  Foxconn is cancelling the Wisconsin deal because of the trade war It might well have been real  but after Huawei would you bring a Chinese manufacturing concern into US jurisdiction No Trumping way20190130 21562400000'],0.165,0.796,0.039
170,['Its almost like they did trade war to have a built in excuse for tax cut failings The tax cut will stay in place of course20190130 21561800000'],0.325,0.575,0.101
171,['Could be this is why Trumps socalled economic advisers went along with Trumps nutty trade war ideathey knew theyd need a big juicy excuse for the failure of their tax cuts to benefit the economy20190130 21561800001'],0.215,0.686,0.098
172,['It was at 27k before your trade war and tax cut20190130 21554100000'],0.262,0.738,0.0
173,['It will drop again as your trade war kicks in20190130 21550200000'],0.4,0.6,0.0
174,['So Much Winning TNOIIECBAFTATPPAAFPDATW Although even absent the trade war there was never any chance that the tax cut would have produced the capital expenditure boost the White House predicted It was all a lie  20190130 21540200000'],0.173,0.691,0.136
175,['What does Huawei have to do with the USChina trade war  20190130 21535100000'],0.245,0.755,0.0
176,['US and Chinese officials try for truce in trade war at 2day meeting in Washington  CBC News  20190130 21534700000'],0.178,0.822,0.0
177,['That darn trade war forcing multibillion dollar corporations to buy back stock and enrich their investors20190130 21532700001'],0.196,0.804,0.0
178,['and this isnt even factoring in another TradeWar winheadline20190130 21525100000'],0.0,1.0,0.0
179,['Rufus Ebegba always grants interviews is always in the news speaking to press men You have been the head of a government body  understand how easily people lie against you when you dont work in their favour Truth is there is a trade war in that sector this fight has been on20190130 21522800000'],0.112,0.733,0.155
180,['GaryCohn on CNBC says the taxcuts he helped architect havent produced the capital spending and investment the White House promised because of the tradewar the administration launched simultaneously20190130 21515300000'],0.0,0.871,0.129
181,['I mean he is right The trade war definitely mitigated a lot of potential growth from investment and capital spending20190130 21511500000'],0.149,0.649,0.202
