created_at,text,retweet_count,favorite_count,lang
Fri Nov 08 06:09:09 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:09:02 +0000 2019,"['SAMSUNG', 'FUNDA', 'COVER', 'DE', 'SILICONA', 'PARA', 'SAMSUNG', 'GALAXY', 'S10', 'PLUS', 'NEGRO', '599', '00']",0,0,in
Fri Nov 08 06:08:59 +0000 2019,"['RT', 'ThailandExhibit', 'ซ', 'มซ', 'ง', 'ขอบค', 'ณคนไทย', 'ร', 'วมสร', 'างปรากฏการณ', 'Space', 'Selfie', 'เซลฟ', 'หล', 'ดขอบโลก', 'ชาวเน', 'ตไทยร', 'วมส', 'งร', 'ปเซลฟ', 'ข', 'นไปอวดโฉมก', 'นถ', 'งนอก']",77,0,th
Fri Nov 08 06:08:56 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:08:55 +0000 2019,"['RT', 'BrunoCalfinn', 'Que', 'celular', 'del', 'bien', 'el', 'Samsung', 'j7', 'la', 'batería', 'te', 'dura', 'un', 'día', 'entero', 'se', 'te', 'cae', 'y', 'no', 'le', 'pasa', 'nada', 'creo', 'q', 'recupera', 'las', 'Ma']",4,0,es
Fri Nov 08 06:08:54 +0000 2019,"['RT', 'xolovelizabeth', 'i', 'still', 'can', 't', 'believe', 'it', 'Samsung', 'is', 'paying', 'the', 'rest', 'of', 'my', 'tuition']",39,0,en
Fri Nov 08 06:08:51 +0000 2019,"['SamsungMobileSA', 'expressoshow', 'casspernyovest', '1st', 'favourite', 'feature', 'will', 'have', 'to', 'be', 'Samsung', 'pay', 'makrs', 'it', 'super', 'eas']",0,0,en
Fri Nov 08 06:08:45 +0000 2019,"['RT', 'ForBtsTaehyung2', 'TaehyungNews', 'BTSV', 'aged', '24', 'bought', 'a', 'luxury', 'villa', 'called', 'apelbaum', 'complex', 'in', 'Samsung', 'dong', 'Gangnam', 'gu', 'Seoul', 'for']",972,0,en
Fri Nov 08 06:08:43 +0000 2019,"['RT', 'xolovelizabeth', 'i', 'still', 'can', 't', 'believe', 'it', 'Samsung', 'is', 'paying', 'the', 'rest', 'of', 'my', 'tuition']",39,0,en
Fri Nov 08 06:08:42 +0000 2019,"['RT', 'Shewithbutsoft', 'ซ', 'มซ', 'ง', 'ขอบค', 'ณคนไทย', 'ร', 'วมสร', 'างปรากฏการณ', 'Space', 'Selfie', 'เซลฟ', 'หล', 'ดขอบโลก', 'ชาวเน', 'ตไทยร', 'วมส', 'งร', 'ปเซลฟ', 'มากเป', 'นอ', 'นด', 'บท', '7', 'ของ']",189,0,th
Fri Nov 08 06:08:42 +0000 2019,"['VR', 'SHARK', 'X4', 'Virtual', 'Reality', 'Google', 'Cardboard', 'VR', 'Brille', 'VR', 'Headset', 'für', '4', '7', '6', '2', 'Smartphones', 'komp', 'mit']",0,0,de
