Date,Open,High,Low,Close,Adj Close,Volume
8/2/2017,49200,49340,48600,49000,14580.83594,7777450
8/3/2017,49000,49000,47120,47780,14217.80078,15540800
8/4/2017,48160,48180,47500,47700,14193.99609,8359200
8/7/2017,47500,48080,47440,47580,14158.28906,7218250
8/8/2017,47980,48260,47480,47720,14199.94629,7979600
8/9/2017,47400,47400,46240,46280,13771.4502,14555400
8/10/2017,46200,46320,45460,45900,13658.37402,22986150
8/11/2017,45120,45300,44220,44620,13277.48828,25407300
8/14/2017,45120,45400,44720,45000,13390.56152,19185600
8/16/2017,46220,46380,46000,46200,13747.64453,21913650
8/17/2017,46960,47300,46740,47040,13997.60156,12415850
8/18/2017,46760,47240,46240,46900,13955.94238,10477950
8/21/2017,47240,47240,46580,46840,13938.08789,5103450
8/22/2017,46820,47160,46700,47000,13985.69824,7381750
8/23/2017,47780,47780,47180,47480,14128.53223,9384700
8/24/2017,47520,47660,47340,47520,14140.43262,8657450
8/25/2017,47880,47880,46720,47020,13991.64941,11243550
8/28/2017,47020,47240,45960,46100,13717.88672,9962100
8/29/2017,45640,46080,45160,46080,13711.93652,12623650
8/30/2017,46380,46400,45960,46200,13747.64453,7513000
8/31/2017,46220,46640,46000,46320,13783.35156,11011700
9/1/2017,46460,46640,46300,46480,13830.96387,10641700
9/4/2017,45780,46360,45500,46040,13700.0332,7943500
9/5/2017,46240,46900,45960,46760,13914.28223,11716100
9/6/2017,46760,47180,46700,47000,13985.69824,10811050
9/7/2017,47000,48220,47000,48120,14318.97559,9676500
9/8/2017,48700,49180,48580,49080,14604.64063,10893000
9/11/2017,49700,50180,49500,49800,14818.88965,10374750
9/12/2017,50200,50220,49140,49600,14759.37695,12029750
9/13/2017,49820,50400,49440,49620,14765.32813,9357000
9/14/2017,50060,50320,49760,50300,14967.67383,14204750
9/15/2017,50300,50560,49860,50400,14997.43066,10757300
9/18/2017,50540,52480,50520,52480,15616.37305,11524950
9/19/2017,52500,52640,51780,52120,15509.24902,9850400
9/20/2017,52120,52500,51840,52220,15539.00488,9292750
9/21/2017,52220,52960,52220,52800,15711.59375,8839800
9/25/2017,53000,53680,53000,53620,15955.59766,9303100
9/26/2017,53620,53620,53620,53620,15955.59766,0
9/27/2017,52000,52200,51500,51680,15378.31738,10797000
9/28/2017,52260,52460,51260,51260,17643.07422,12025450
9/29/2017,51180,51620,50840,51280,17649.95703,12909400
10/10/2017,53360,53640,52800,52800,18173.12305,20519800
10/11/2017,53600,54760,53340,54640,18806.42969,13652150
10/12/2017,54840,55160,54100,54800,18861.5,13890700
10/13/2017,54540,54840,53780,54000,18586.15039,12601650
10/16/2017,53980,54860,53760,53920,18558.61523,9769950
10/17/2017,54020,55380,54000,54800,18861.5,10607800
10/18/2017,54820,55240,54040,54760,18847.73242,10110750
10/19/2017,54700,54700,52980,52980,18235.07813,12108700
10/20/2017,52800,54100,52800,53840,18531.08008,8027050
10/23/2017,54600,54640,54000,54300,18689.40625,8311050
10/24/2017,54700,54780,54040,54040,18599.91602,5806050
10/25/2017,54040,54420,53700,53900,18551.73047,5882850
10/26/2017,53720,53900,52400,52400,18035.44727,9776550
10/27/2017,52400,53320,52140,53080,18269.49805,7392500
10/30/2017,53780,54320,53700,54040,18599.91602,8196150
10/31/2017,54060,55440,53500,55080,18957.87109,13381550
11/1/2017,57500,57500,56180,57220,19694.43359,14510250
11/2/2017,57500,57520,56760,57060,19639.36523,10721050
11/3/2017,57060,57140,55860,56380,19405.31641,9935800
11/6/2017,56380,56500,55340,56380,19405.31641,9000950
11/7/2017,56380,56920,55860,56100,19308.94336,7464550
11/8/2017,56100,57060,55860,56760,19536.10742,8520200
11/9/2017,56920,56920,55900,56340,19391.54883,11994050
11/10/2017,55800,56540,55780,56400,19412.20117,6748800
11/13/2017,56400,56800,56100,56380,19405.31641,8806650
11/14/2017,56380,56740,55920,55920,19246.99023,6725000
11/15/2017,55920,56320,55320,55340,19047.36133,8816950
11/16/2017,55440,56000,55400,55780,19198.80273,7640700
11/17/2017,56400,56880,55820,55820,19212.57227,10733150
11/20/2017,55900,55980,55200,55200,18999.17578,9472750
11/21/2017,55400,55840,55280,55280,19026.71094,10324700
11/22/2017,55980,56200,55620,55960,19260.75781,7952950
11/23/2017,55960,55980,55020,55300,19033.59375,6272900
11/24/2017,55300,55500,55180,55460,19088.66211,4536200
11/27/2017,55360,55360,52640,52640,18118.05273,18128900
11/28/2017,52700,53280,51720,53280,18338.33398,13499400
11/29/2017,53200,53240,52500,52600,18104.28711,9590250
11/30/2017,50800,51860,50200,50800,17484.74805,29634150
12/1/2017,50800,51780,50800,50840,17498.51563,12868600
12/4/2017,50840,51340,50020,51340,17670.61133,14865050
12/5/2017,50600,51300,50280,51260,17643.07422,9326550
12/6/2017,51260,51560,50020,50020,17216.2832,10889200
12/7/2017,50040,50980,50020,50740,17464.09766,11065600
12/8/2017,51360,52000,51040,52000,17897.77344,11290450
12/11/2017,52000,52040,51500,51780,17822.05273,8125850
12/12/2017,51820,52100,51660,52100,17932.19336,8765050
12/13/2017,52100,52100,51100,51320,17663.72656,11333700
12/14/2017,51320,52280,51060,51060,17574.23633,20310400
12/15/2017,51240,51480,50520,50620,17422.79492,14928550
12/18/2017,50620,51240,50620,51200,17622.42188,7350250
12/19/2017,51540,52080,51520,51560,17746.33203,11978600
12/21/2017,51000,51060,49100,49140,16913.39648,15624300
12/22/2017,49400,49960,49240,49700,17106.14063,11199650
12/26/2017,49760,50100,48200,48200,16589.85938,16039850
12/27/2017,48960,49560,48460,49360,30669.49414,10743600
12/28/2017,49560,50960,49500,50960,31663.64063,8985450
1/2/2018,51380,51400,50780,51020,31700.92188,8474250
1/3/2018,52540,52560,51420,51620,32073.72852,10013500
1/4/2018,52120,52180,50640,51080,31738.20508,11695450
1/5/2018,51300,52120,51200,52120,32384.40039,9481150
1/8/2018,52400,52520,51500,52020,32322.26367,8383650
1/9/2018,51460,51720,49980,50400,31315.69141,18013600
1/10/2018,50500,50520,48640,48840,30346.39453,18566800
1/11/2018,48200,49260,48020,48240,29973.58984,25123800
1/12/2018,48240,48480,46760,48200,29948.73242,27270450
1/15/2018,48800,48980,47920,48540,30159.99219,10096000
1/16/2018,48760,50140,48620,50000,31067.1543,20389650
1/17/2018,50020,50020,49060,49620,30831.04102,11053050
1/18/2018,50020,50640,49820,49900,31005.01758,14848850
1/19/2018,50380,50380,49040,49320,30644.64063,9219950
1/22/2018,48640,48680,47960,48240,29973.58984,12520900
1/23/2018,48660,49160,48300,49160,30545.22461,13532700
1/24/2018,48860,49700,48560,49340,30657.06641,9550500
1/25/2018,49220,50360,49160,50260,31228.70117,11160350
1/26/2018,50500,50780,49840,50780,31551.79883,10350100
1/29/2018,51200,51480,50900,51220,31825.19336,11838800
1/30/2018,50440,50640,49780,49800,30942.88281,12284550
1/31/2018,50020,54140,49600,49900,31005.01758,64681300
2/1/2018,50620,50960,49720,49820,30955.3125,27609450
2/2/2018,49380,49400,47700,47700,29638.0625,29260350
2/5/2018,46500,48320,46000,47920,29774.75977,28357900
2/6/2018,46600,47920,46580,47420,29464.08789,19406450
2/7/2018,48240,48260,45800,45800,28457.51172,23448050
2/8/2018,46120,46620,45980,46000,28581.7793,23251050
2/9/2018,44440,45180,44420,44700,27774.0332,17465000
2/12/2018,45100,46320,45040,45720,28407.80469,15754950
2/13/2018,46200,48060,46200,47540,29538.64648,18923250
2/14/2018,48080,49100,47940,49000,30445.81055,18905900
2/19/2018,49800,49800,47860,48380,30060.57617,15353450
2/20/2018,48040,48160,47220,47400,29451.66016,10122600
2/21/2018,47280,47580,46840,47280,29377.09766,12880200
2/22/2018,47260,47260,46760,46760,29054.00195,8869950
2/23/2018,46760,47800,46760,47220,29339.82031,12423300
2/26/2018,47280,47560,47080,47380,29439.23242,9560650
2/27/2018,48360,48380,47380,47380,29439.23242,9830550
2/28/2018,47380,48100,47000,47060,29240.4043,15162350
3/2/2018,46580,46800,46000,46020,28594.20703,13265500
3/5/2018,45820,46160,45080,45200,28084.70703,14100950
3/6/2018,45920,47100,45820,47020,29215.55078,15423350
3/7/2018,48200,48900,47220,48620,30209.70117,21427050
3/8/2018,49200,49480,48080,49200,30570.07813,19463650
3/9/2018,49440,50540,49240,49740,30905.60156,14304400
3/12/2018,50560,50780,49580,49740,30905.60156,8688950
3/13/2018,50760,51660,50360,51660,32098.58203,20098700
3/14/2018,51020,52000,51000,51760,32160.7168,12713250
3/15/2018,52000,52020,51020,51540,32024.01953,8882450
3/16/2018,51220,51420,50240,51140,31775.48242,12184900
3/19/2018,50620,51340,50440,50740,31526.94727,8218850
3/20/2018,50700,51200,50100,51200,31812.76563,8193250
3/21/2018,51780,51780,51060,51060,31725.77734,8905200
3/22/2018,51060,51780,51040,51780,32173.14453,8454100
3/23/2018,50340,50720,49600,49720,30893.17578,14854950
3/26/2018,49420,50280,49040,50280,31241.12891,10057750
3/27/2018,50320,50460,49080,49980,31054.72656,11874000
3/28/2018,49100,49100,48340,48700,30259.40625,15159450
3/29/2018,48700,49560,48320,49040,47868.42578,10067000
3/30/2018,49080,49900,49080,49220,48044.12891,7777100
4/2/2018,49000,49220,48500,48540,47380.375,7115650
4/3/2018,47880,48140,47280,48120,46970.40625,12768250
4/4/2018,48160,48260,46920,46920,45799.07422,12384200
4/5/2018,47400,49380,47340,48740,47575.59375,13245600
4/6/2018,48000,48580,47400,48400,47243.71875,12532700
4/9/2018,48260,49440,48200,49200,48024.60547,9950400
4/10/2018,48540,49220,48040,48880,47712.25391,10984350
4/11/2018,49900,49900,48600,48860,47692.73047,10051100
4/12/2018,49440,49440,48880,49000,47829.38672,12466250
4/13/2018,49600,50180,49400,49800,48610.26953,10278300
4/16/2018,50320,50600,49860,50340,49137.37109,7877450
4/17/2018,50240,50540,49820,49980,48785.97266,7772000
4/18/2018,51000,51360,50580,51360,50133,13462600
4/19/2018,52000,52980,51540,52780,51519.07813,17190550
4/20/2018,51800,52260,51420,51620,50386.79297,11761000
4/23/2018,51000,52080,51000,51900,50660.10547,11619000
4/24/2018,51840,51860,50080,50460,49254.50391,15770300
4/25/2018,49220,50500,49220,50400,49195.94141,16614600
4/26/2018,50420,52160,50400,52140,50894.37109,18046550
4/27/2018,53380,53640,52440,53000,51733.82422,30310800
4/30/2018,53000,53000,53000,53000,51733.82422,0
